Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Stock Movement
Narayana Hrudayalaya Ltd,NH,Buy,1331.0,1275.0,1480.0,5-10 Days,0.0,Upward
Affle India Ltd,AFFLE,Buy,1780.0,1425.0,,6 Months,-0.012499999999999992,Downward
BLS International Services Ltd,BLS,Buy,426.0,341.0,,6 Months,-0.010714285714285707,Downward
PNC Infratech Ltd,PNCINFRA,Buy,309.0,295.0,340.0,5-10 Days,0.0,Upward
UCO Bank Ltd,UCOBANK,Buy,49.0,39.0,,1 Year,-0.027777777777777776,Downward
Swan Energy Ltd,SWANENERGY,Buy,720.0,576.0,,1 Year,-0.2851851851851852,Downward
Eicher Motors Ltd,EICHERMOT24DEC4850CE,Buy,121.0,105.0,156.0,1-2 Days,0.0,Upward
Automotive Axles Ltd,AUTOAXLES,Buy,1803.0,1735.0,2060.0,5-10 Days,0.0,Upward
Harsha Engineers International Ltd,HARSHA,Buy,512.0,482.0,590.0,5-10 Days,0.0,Upward
CESC Ltd,CESC,Buy,177.0,168.0,192.0,5-10 Days,0.0,Upward
Genus Power Infrastructures Ltd,GENUSPOWER,Buy,456.0,365.0,,6 Months,0.0,Upward
Vimta Labs Ltd,VIMTALABS,Buy,903.0,848.0,1048.0,5-10 Days,0.0,Upward
Voltas Ltd,VOLTAS24DEC1660CE,Buy,54.0,44.0,69.0,1-2 Days,0.0,Upward
Aegis Logistics Ltd,AEGISLOG,Buy,835.0,800.0,945.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24D0524200CE,Buy,274.0,240.0,330.0,INTRADAY,0.0,Upward
Elgi Equipments Ltd,ELGIEQUIP,Buy,635.0,608.0,740.0,5-10 Days,0.0,Upward
RPSG Ventures Ltd,RPSGVENT,Buy,1090.0,1048.0,1210.0,5-10 Days,0.0,Upward
NIFTY,NIFTY24NOV24100CE,Buy,150.0,125.0,200.0,INTRADAY,0.0,Upward
Aurobindo Pharma Ltd,AUROPHARMA24DEC1240CE,Buy,38.0,31.0,58.0,1-2 Days,0.0,Upward
FINNIFTY,FINNIFTY24DEC24100CE,Buy,485.0,450.0,550.0,INTRADAY,0.0,Upward
PCBL Ltd,PCBL,Buy,419.0,402.0,460.0,5-10 Days,0.0,Upward
DLF Ltd,DLF24DEC830PE,Buy,22.0,18.0,36.0,1-2 Days,0.0,Upward
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Buy,4255.0,4030.0,4880.0,5-10 Days,0.0,Upward
Praj Industries Limited,PRAJIND,Buy,812.0,650.0,,1 Year,-0.23174603174603176,Downward
Saregama India Ltd,SAREGAMA,Buy,468.0,445.0,540.0,5-10 Days,0.0,Upward
BANKNIFTY,BANKNIFTY24NOV52100CE,Buy,375.0,310.0,500.0,INTRADAY,0.0,Upward
