Stock Name,Symbol,Recommendation,CMP,Stop Loss,Target,Duration,Sentiment,Date,Stock Movement
Narayana Hrudayalaya Ltd,NH,Buy,1331.0,1275.0,1480.0,5-10 Days,0.0,2024-12-06 09:29:32+00:00,Upward
Affle India Ltd,AFFLE,Buy,1780.0,1425.0,,6 Months,-0.012499999999999992,2024-12-06 06:12:38+00:00,Downward
BLS International Services Ltd,BLS,Buy,426.0,341.0,,6 Months,-0.010714285714285707,2024-12-06 05:52:41+00:00,Downward
PNC Infratech Ltd,PNCINFRA,Buy,309.0,295.0,340.0,5-10 Days,0.0,2024-12-05 08:17:03+00:00,Upward
UCO Bank Ltd,UCOBANK,Buy,49.0,39.0,,1 Year,-0.027777777777777776,2024-12-05 06:18:46+00:00,Downward
Swan Energy Ltd,SWANENERGY,Buy,720.0,576.0,,1 Year,-0.2851851851851852,2024-12-05 05:13:05+00:00,Downward
Eicher Motors Ltd,EICHERMOT24DEC4850CE,Buy,121.0,105.0,156.0,1-2 Days,0.0,2024-12-04 04:03:08+00:00,Upward
Automotive Axles Ltd,AUTOAXLES,Buy,1803.0,1735.0,2060.0,5-10 Days,0.0,2024-12-03 08:46:51+00:00,Upward
Harsha Engineers International Ltd,HARSHA,Buy,512.0,482.0,590.0,5-10 Days,0.0,2024-12-03 06:48:10+00:00,Upward
CESC Ltd,CESC,Buy,177.0,168.0,192.0,5-10 Days,0.0,2024-12-02 09:12:18+00:00,Upward
Genus Power Infrastructures Ltd,GENUSPOWER,Buy,456.0,365.0,,6 Months,0.0,2024-12-02 06:49:35+00:00,Upward
Vimta Labs Ltd,VIMTALABS,Buy,903.0,848.0,1048.0,5-10 Days,0.0,2024-12-02 06:20:19+00:00,Upward
Voltas Ltd,VOLTAS24DEC1660CE,Buy,54.0,44.0,69.0,1-2 Days,0.0,2024-11-29 04:20:03+00:00,Upward
Aegis Logistics Ltd,AEGISLOG,Buy,835.0,800.0,945.0,5-10 Days,0.0,2024-11-28 04:52:18+00:00,Upward
NIFTY,NIFTY24D0524200CE,Buy,274.0,240.0,330.0,INTRADAY,0.0,2024-11-28 04:34:59+00:00,Upward
Elgi Equipments Ltd,ELGIEQUIP,Buy,635.0,608.0,740.0,5-10 Days,0.0,2024-11-28 04:15:52+00:00,Upward
RPSG Ventures Ltd,RPSGVENT,Buy,1090.0,1048.0,1210.0,5-10 Days,0.0,2024-11-27 09:09:58+00:00,Upward
NIFTY,NIFTY24NOV24100CE,Buy,150.0,125.0,200.0,INTRADAY,0.0,2024-11-27 06:47:56+00:00,Upward
Aurobindo Pharma Ltd,AUROPHARMA24DEC1240CE,Buy,38.0,31.0,58.0,1-2 Days,0.0,2024-11-27 05:02:17+00:00,Upward
FINNIFTY,FINNIFTY24DEC24100CE,Buy,485.0,450.0,550.0,INTRADAY,0.0,2024-11-27 04:49:53+00:00,Upward
PCBL Ltd,PCBL,Buy,419.0,402.0,460.0,5-10 Days,0.0,2024-11-27 04:12:26+00:00,Upward
DLF Ltd,DLF24DEC830PE,Buy,22.0,18.0,36.0,1-2 Days,0.0,2024-11-26 06:27:51+00:00,Upward
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Buy,4255.0,4030.0,4880.0,5-10 Days,0.0,2024-11-26 04:02:58+00:00,Upward
Praj Industries Limited,PRAJIND,Buy,812.0,650.0,,1 Year,-0.23174603174603176,2024-11-25 05:49:37+00:00,Downward
Saregama India Ltd,SAREGAMA,Buy,468.0,445.0,540.0,5-10 Days,0.0,2024-11-25 05:37:50+00:00,Upward
BANKNIFTY,BANKNIFTY24NOV52100CE,Buy,375.0,310.0,500.0,INTRADAY,0.0,2024-11-25 05:06:37+00:00,Upward
XPRO India Ltd,XPROINDIA,Buy,1171.0,1118.0,1280.0,5-10 Days,0.0,2024-11-25 05:03:59+00:00,Upward
Cera Sanitaryware Ltd,CERA,Buy,7065.0,6740.0,7820.0,5-10 Days,0.0,2024-11-25 04:42:08+00:00,Upward
