Date,Sender,Message
2024-12-07 03:30:45+00:00,-1001236360901,"Mobikwik IPO Latest GMP

100 (36%)"
2024-12-06 16:08:39+00:00,-1001236360901,"15,000 Cr IPO by LG on the cards"
2024-12-06 14:25:55+00:00,-1001236360901,"Market Review | 3 Stocks added in Portfolio | Dow Theory examples from 1999
https://youtu.be/LA_Y1V9VKXs"
2024-12-06 13:15:36+00:00,-1001236360901,FIIs were net sellers today
2024-12-06 12:36:21+00:00,-1001236360901,"🚨 BREAKING

GMP Activated in Sai Life IPO

31 (5.6%)"
2024-12-06 12:14:49+00:00,-1001236360901,"🚨 BREAKING

GMP Activated in Mobikwik IPO

40 (14.3%)"
2024-12-06 10:01:37+00:00,-1001236360901,"TATA Projects - Upcoming IPO from the House of TATA

Tata Projects Eyes IPO in 12-18 Months"
2024-12-06 09:05:24+00:00,-1001236360901,"Omnichannel jewellery startup BlueStone is looking to raise INR 1,000 Cr (around $118.2 Mn) through its IPO at an estimated valuation of INR 12,000-13,000 Cr (around $1.4-1.5 Bn)"
2024-12-06 08:39:18+00:00,-1001236360901,"Nisus Finance Services SME IPO Final Day Subscription Figures at 2PM

QIB 39.4x
HNI 145x
Retail 84.5x

GMP 70000"
2024-12-06 07:38:41+00:00,-1001236360901,"Nisus Finance Services SME IPO Latest GMP

64000

Closing Today"
2024-12-06 07:00:33+00:00,-1001236360901,"NEW MAINBOARD IPO 

Inventurus knowledge Solutions 

Dates: 12 to 16 December 2024
Retail Quota : 10%"
2024-12-06 06:45:30+00:00,-1001236360901,"Vishal Mega Mart IPO Complete Details

IPO Size 8000Cr

GMP 12"
2024-12-06 06:00:53+00:00,-1001236360901,"Sai Life IPO Complete Details

3043Cr IPO"
2024-12-06 05:47:00+00:00,-1001236360901,"Mobikwik IPO Complete Details

They have reduced IPO size from 1900Cr to 572Cr"
2024-12-06 05:04:09+00:00,-1001236360901,"Blockbuster Listing in Ganesh Infraworld NSE SME IPO as well

⭐ IPO Price : ₹ 83
⭐ Listing Price : ₹ 157.70 (+90%)
⭐ Profit per lot: ₹ 1,19,520

Now locked in Day Upper Circuit 

Back to Back 90% Upper Circuit SME IPO Listing"
2024-12-06 04:26:16+00:00,-1001236360901,"Suraksha Diagnostic IPO Listed in Discount

Last GMP 14
GMP Open : 2 (After IPO Close)
GMP High : 16

Listed : -3"
2024-12-06 03:29:40+00:00,-1001236360901,"Suraksha Diagnostic IPO Pre Open Links

NSE
https://www.nseindia.com/market-data/new-stock-exchange-listings-today

BSE
https://www.bseindia.com/stock-share-price/suraksha-diagnostic-ltd/suraksha/544293/

Last GMP 14"
2024-12-06 03:11:17+00:00,-1001236360901,"New Mainboard IPO

Sai Life Sciences Limited

Date : 11-13 December

Issue Size :
Fresh - 950 Cr
OFS - 3,81,16,934 Shares

Retail : 35%"
2024-12-05 15:56:09+00:00,-1001236360901,"Market Review | Added 2 Stocks in Portfolio, Removed 1 | Scrips for Tomorrow
https://youtu.be/Y6p_544h41Q"
2024-12-05 14:39:48+00:00,-1001236360901,"IPOs Listing Tommrow 

1. Suraksha Diagnostic IPO (GMP 16 New High)

2. Ganesh Infraworld NSE SME (GMP 1.25L New High)"
2024-12-05 12:57:08+00:00,-1001236360901,Back to back heavy buying by FIIs
2024-12-05 10:17:47+00:00,-1001236360901,MobiKwik IPO is Launching soon
2024-12-05 08:20:24+00:00,-1001236360901,GMP 80000 (80%)
2024-12-05 07:47:13+00:00,-1001236360901,"GMP Activated in Vishal

12"
2024-12-05 05:44:40+00:00,-1001236360901,"BREAKING

Vishal Mega Mart Files RHP"
2024-12-05 04:32:58+00:00,-1001236360901,"Fantastic Listing of Agrawal Toughened Glass NSE SME 

⭐ IPO Price : 108
⭐ Listing : 135 (+25%) 
⭐ Lot : 1200 shares 
⭐ Profit : ₹ 32,400

GMP Low 0
GMP Open 12000
GMP High 35000"
2024-12-04 17:54:09+00:00,-1001236360901,"Emerald Tyre Manufacturers SME IPO Anchor List

HDFC Bank as an Anchor"
2024-12-04 17:14:13+00:00,-1001236360901,"Ganesh Infraworld SME IPO Allotment Link

https://linkintime.co.in/Initial_Offer/public-issues.html

Suraksha Diagnostic IPO Allotment Link 

https://ipostatus.kfintech.com/"
2024-12-04 15:45:24+00:00,-1001236360901,"Market Review | Stock Removed from Portfolio | Scrips for Tomorrow
https://youtu.be/gUDqBar7OFU"
2024-12-04 14:12:10+00:00,-1001236360901,"Sudden and Huge buying in Suraksha Diagnostic IPO

Latest GMP 12"
2024-12-04 13:52:31+00:00,-1001236360901,FIIs were buyers even today
2024-12-04 13:18:06+00:00,-1001236360901,"Nisus Finance SME IPO Day 1

GMP 42000"
2024-12-04 11:10:21+00:00,-1001236360901,Huge IPO Pipeline on the cards
2024-12-04 09:26:19+00:00,-1001236360901,"Nonstop Action in Recent IPOs

Yesterday NTPC Green
Today Niva Bupa
Hits Upper Circuit"
2024-12-04 07:49:39+00:00,-1001236360901,"Suraksha Diagnostic IPO Latest GMP

5"
2024-12-04 07:00:27+00:00,-1001236360901,"Opening Tomorrow 

GMP 72000"
2024-12-04 05:29:02+00:00,-1001236360901,Back to back 90% Upper Listing in SME IPOs
2024-12-04 04:22:58+00:00,-1001236360901,"Blockbuster Listing of Apex EcoTech SME IPO 

90% Upper Circuit

⭐ IPO Price : 73
⭐ Listing : 138.70 (+90%) 
⭐ Lot : 1600 Shares 
⭐ Profit : ₹ 1,05,120"
2024-12-04 02:43:20+00:00,-1001236360901,"New SME IPO  

Dhanlaxmi Crop Science Ltd

Date :  9-11 Dec 
Price : ₹52-₹55
Size : ₹23.80 Cr
Lot : 2000"
2024-12-03 17:04:55+00:00,-1001236360901,"2 SME IPOs Listing Tomorrow

1. Apex Ecotech (GMP 72000 NEW High)

2. Abha Power and Steel (GMP 20000 SELLER)"
2024-12-03 16:16:26+00:00,-1001236360901,"Nisus Finance Services SME IPO Anchor Investor Details

GMP 42000"
2024-12-03 15:28:03+00:00,-1001236360901,7 Companies Get SEBI Approval For IPO
2024-12-03 14:36:40+00:00,-1001236360901,"Market Review | 2 new Stocks added in Portfolio | Hot Sectors for Tomorrow
https://youtu.be/-BF78Hns5vo"
2024-12-03 14:14:36+00:00,-1001236360901,"Total Subscription in Recently listed SMEs which hit 90% Upper Circuit in Pre Open 


1. Ganesh Infra : 22,993 Cr (Yet to List)
2. Lakshya Power: 19,493 Cr 
3. Sahasra Electronics : 15,112 Cr
4. Rajputana Bio : 11,624 Cr 
5. C2C Advanced : 8257 Cr
6. Rajesh Power : 6344 Cr"
2024-12-03 13:24:56+00:00,-1001236360901,Suraksha Diagnostic IPO Final Subscription Figures
2024-12-03 12:57:24+00:00,-1001236360901,Massive Buying by FIIs today
2024-12-03 12:24:49+00:00,-1001236360901,Trafiksol SME IPO Cancelled
2024-12-03 10:29:51+00:00,-1001236360901,"🚨BREAKING

GMP Activated in Suraksha Diagnostic IPO 

2 (0.5%)"
2024-12-03 10:19:58+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 3:45 PM

QIB 294Cr 1.75x

Application wise
bHNI 835 0.21x
sHNI 1840 0.91x
Retail 143268 0.73x

GMP Not Activated"
2024-12-03 09:45:57+00:00,-1001236360901,"This year, 75% of the 76 newly listed companies delivered positive listing day returns, averaging 28%. 

Notably, KRN Heat Exchanger, Bajaj Housing Finance, BLS E-Services, and Vibhor Steel Tubes gained over 100% on debut.

A SEBI study found 54% of IPO shares allotted to retail investors were sold within a week."
2024-12-03 09:29:15+00:00,-1001236360901,2024 : A great year for IPOs
2024-12-03 09:15:05+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 2:45 PM

QIB 252Cr 1.5x

Application wise
bHNI 595 0.15x
sHNI 1191 0.6x
Retail 140794 0.71x

GMP Not Activated"
2024-12-03 08:47:12+00:00,-1001236360901,"Ganesh Infraworld SME IPO Subscription Figures at 2:15PM

QIB 1454 82x
HNI 391x
Retail 186x (Applications 435647)

GMP 1.2L

Closing Today"
2024-12-03 07:58:40+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 1:30 PM

QIB 83Cr 0.5x

Application wise
bHNI 332 0.08x
sHNI 872 0.43x
Retail 137724 0.7x

GMP Not Activated"
2024-12-03 07:17:04+00:00,-1001236360901,"Ganesh Infraworld SME IPO Subscription Figures at 12:45PM

QIB 261Cr 14.74x
HNI 211x
Retail 135.84x (317867 Applications)

GMP 1.2L

Closing Today"
2024-12-03 06:40:27+00:00,-1001236360901,"Suraksha Diagnostic IPO Day 3 Subscription Figures at 12:00 PM

QIB 0x

Application wise
bHNI 133 0.03x
sHNI 598 0.3x
Retail 126934 0.64x

GMP Not Activated"
2024-12-03 06:10:12+00:00,-1001236360901,"NEW SME IPO

Purple United Sales

Price : 121 - 126 
Lot : 1000 shares
Date : 11-13 December 
Size : 32.81 crore"
2024-12-03 05:35:00+00:00,-1001236360901,"NEW SME IPO 🔥

Jungle Camps SME IPO

Price : 68 to 72 
Lot : 1600 shares
Date : 10-12 December 
Size : 29.41 crore

GMP 64000"
2024-12-03 05:05:11+00:00,-1001236360901,"Blockbuster Listing in Rajputana SME IPO as well

Seems like SME IPO charm is back"
