Date,Sender,Message
2024-12-06 11:59:23+00:00,-1001156495705,https://youtu.be/5bIg9zX7KB8
2024-12-06 09:29:32+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Narayana Hrudayalaya Ltd
Symbol: NH
Rating: Buy 🟢
CMP: ₹1331
Stop loss: ₹1275
Target: 1480
Duration: 5-10 Days
Trade Date: 06-12-2024
Trade Type: Short-Term Trade
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-06 07:10:17+00:00,-1001156495705,Trail SL to 918 (CMP 965)
2024-12-06 06:12:38+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Affle India Ltd
Symbol: AFFLE
Rating: Buy 🟢
CMP: ₹1780
Stop loss: ₹1425
Duration: 6 Months
Trade Date: 06-12-2024
Trade Type: Momentum Pick

Note: Since we base our strategy on earnings and momentum, predicting the target price might lead to early exits. So, we will update the exit price as soon as the stock loses its momentum or becomes technically weak. Until then enjoy the ride. The ideal holding period for this call is six months.

Name of RA: T Manish

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-06 05:52:41+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: BLS International Services Ltd
Symbol: BLS
Rating: Buy 🟢
CMP: ₹426
Stop loss: ₹341
Duration: 6 Months
Trade Date: 06-12-2024
Trade Type: Momentum Pick

Note: Since we base our strategy on earnings and momentum, predicting the target price might lead to early exits. So, we will update the exit price as soon as the stock loses its momentum or becomes technically weak. Until then enjoy the ride. The ideal holding period for this call is six months.

Name of RA: T Manish

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-06 03:06:40+00:00,-1001156495705,Traders Dashboard
2024-12-05 08:17:03+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: PNC Infratech Ltd
Symbol: PNCINFRA
Rating: Buy 🟢
CMP: ₹309
Stop loss: ₹295
Target: 340
Duration: 5-10 Days
Trade Date: 05-12-2024
Trade Type: Short-Term Trade
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-05 06:47:53+00:00,-1001156495705,Book Profit and Exit @ 544
2024-12-05 06:18:46+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: UCO Bank Ltd
Symbol: UCOBANK
Rating: Buy 🟢
CMP: ₹49.25
Stop loss: ₹39.40
Duration: 1 Year
Trade Date: 05-12-2024
Trade Type: Positional Pick

Note: Since our strategy is based on momentum, predicting the target price might lead to early exits. Therefore, we will update the exit price as soon as the momentum slows down. The maximum holding period for this call is one year.

Name of RA: Amar Nandu

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-05 05:59:14+00:00,-1001156495705,"Book 4% Loss in Network 18 Media & Investments (TV18 Broadcast)

CMP: ₹ 46.03 (79.17*100/172)
Returns: -4.11%
Recommended Price: ₹ 48
Recommendation Date: 04-12-2023

We have completed the one-year holding period with this stock under the Positional Trading Pick. According to the strategy rules, we recommend investors to sell the stock and book 4% loss.

Disclaimer: https://sam-co.in/6j                 
Name of RA: Amar Nandu"
2024-12-05 05:38:15+00:00,-1001156495705,Target Achieved
2024-12-05 05:13:05+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Swan Energy Ltd
Symbol: SWANENERGY
Rating: Buy 🟢
CMP: ₹720
Stop loss: ₹576
Duration: 1 Year
Trade Date: 05-12-2024
Trade Type: Positional Pick

Note: Since we base our strategy on momentum, predicting the target price might lead to early exits. So, we will update the exit price as soon as the momentum slows down. The maximum holding period for this call is one year.

Name of RA: Amar Nandu

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-05 03:18:04+00:00,-1001156495705,
2024-12-04 08:11:33+00:00,-1001156495705,Trail SL to 182 (CMP 187.5)
2024-12-04 04:03:08+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Eicher Motors Ltd
Symbol: EICHERMOT24DEC4850CE
Rating: Buy 🟢
CMP: ₹121
Stop loss: ₹105
Target: 156
Duration: 1-2 Days
Trade Date: 04-12-2024
Trade Type: Positional Stock Option
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-04 03:15:32+00:00,-1001156495705,
2024-12-03 08:46:51+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Automotive Axles Ltd
Symbol: AUTOAXLES
Rating: Buy 🟢
CMP: ₹1803
Stop loss: ₹1735
Target: 2060
Duration: 5-10 Days
Trade Date: 03-12-2024
Trade Type: Short-Term Trade
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-03 06:48:10+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Harsha Engineers International Ltd
Symbol: HARSHA
Rating: Buy 🟢
CMP: ₹512
Stop loss: ₹482
Target: 590
Duration: 5-10 Days
Trade Date: 03-12-2024
Trade Type: Short-Term Trade
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-03 04:33:39+00:00,-1001156495705,"Book 48% Profit in Aster DM Healthcare Ltd

CMP: ₹ 489 (ex-dividend)
Dividend: ₹118 (23-04-2024)
Returns: 48.05%
Recommended Price: ₹ 410
Recommendation Date: 01-12-2023

We have completed the one-year holding period with this stock under the Positional Trading Pick. According to the strategy rules, we recommend investors to sell the stock and book 48% profit.

Disclaimer: https://sam-co.in/6j            
Name of RA: Amar Nandu"
2024-12-03 03:12:37+00:00,-1001156495705,
2024-12-02 09:12:18+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: CESC Ltd
Symbol: CESC
Rating: Buy 🟢
CMP: ₹177.2
Stop loss: ₹168
Target: 192
Duration: 5-10 Days
Trade Date: 02-12-2024
Trade Type: Short-Term Trade
Name of RA: Om Mehra

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
2024-12-02 06:49:35+00:00,-1001156495705,"RECOMMENDATION ALERT 🔔

Stock Name: Genus Power Infrastructures Ltd
Symbol: GENUSPOWER
Rating: Buy 🟢
CMP: ₹456
Stop loss: ₹365
Duration: 6 Months
Trade Date: 02-12-2024
Trade Type: Momentum Pick
Name of RA: T Manish

Disclaimer: https://sam-co.in/6j/ Samco Securities Ltd"
