Date,Sender,Message
2024-12-06 06:47:13+00:00,-1001843670580,
2024-12-06 06:47:13+00:00,-1001843670580,
2024-12-06 06:47:07+00:00,-1001843670580,
2024-12-06 06:47:07+00:00,-1001843670580,J.....
2024-12-06 06:44:17+00:00,-1001843670580,
2024-12-06 06:44:17+00:00,-1001843670580,
2024-12-06 06:08:14+00:00,-1001843670580,J..
2024-12-06 06:08:02+00:00,-1001843670580,
2024-12-06 06:08:02+00:00,-1001843670580,J...
2024-12-06 06:07:55+00:00,-1001843670580,
2024-12-06 06:07:54+00:00,-1001843670580,
2024-12-06 05:56:31+00:00,-1001843670580,Morning jackpot return ❤️👍👍👍👍
2024-12-06 05:56:05+00:00,-1001843670580,Morning jackpot return ❤️❤️👍👍❤️
2024-12-06 05:54:03+00:00,-1001843670580,Banknifty rising wedge pattern show ❤️👍👍❤️❤️❤️❤️❤️👍
2024-12-06 05:52:22+00:00,-1001843670580,Nifty showing pattern ❤️👍👍❤️❤️❤️👍
2024-12-06 05:40:57+00:00,-1001843670580,Sideways ❤️👍👍❤️❤️👍
2024-12-06 05:40:04+00:00,-1001843670580,J...
2024-12-06 04:37:40+00:00,-1001843670580,0 POINT RATE CUT
2024-12-06 04:21:02+00:00,-1001843670580,nifty important resistance trendline❤️❤️👍❤️❤️👍👍❤️
2024-12-06 04:15:33+00:00,-1001843670580,"Range is big and current momentum is slow. 

All eyes on RBI policy, wait for clear momentum before considering any trade❤️👍👍❤️👍"
2024-12-06 04:15:13+00:00,-1001843670580,Nifty PCR data
2024-12-06 04:15:05+00:00,-1001843670580,Banknifty pcR data
2024-12-06 04:08:39+00:00,-1001843670580,Target done 👍👍✅✅
2024-12-06 04:04:05+00:00,-1001843670580,
2024-12-06 04:03:54+00:00,-1001843670580,821
2024-12-06 03:52:25+00:00,-1001843670580,
2024-12-06 03:51:55+00:00,-1001843670580,815
2024-12-06 03:50:19+00:00,-1001843670580,814
2024-12-06 03:50:07+00:00,-1001843670580,811
2024-12-06 03:49:57+00:00,-1001843670580,810
2024-12-06 03:49:52+00:00,-1001843670580,800
2024-12-06 03:49:45+00:00,-1001843670580,799
2024-12-06 03:49:40+00:00,-1001843670580,789
2024-12-06 03:49:34+00:00,-1001843670580,789
2024-12-06 03:49:09+00:00,-1001843670580,788
2024-12-06 03:49:00+00:00,-1001843670580,786
2024-12-06 03:48:55+00:00,-1001843670580,784
2024-12-06 03:48:42+00:00,-1001843670580,"Buy banknifty 53700 pe
@778
SL
TGT.790.800.830+++"
2024-12-06 03:30:28+00:00,-1001843670580,Nifty 30 mint time frame ❤️👍👍👍👍
2024-12-06 03:17:05+00:00,-1001843670580,ETH profit done ❤️❤️❤️👍👍👍
2024-12-06 03:12:31+00:00,-1001843670580,BTc❤️👍👍👍❤️
2024-12-06 03:11:21+00:00,-1001843670580,Aaj RBI ki monitory policy bhi h so trade carefully❤️❤️❤️👍👍👍👍❤️❤️
2024-12-06 03:04:06+00:00,-1001843670580,banknifty important level❤️👍👍❤️❤️❤️❤️
2024-12-06 02:54:40+00:00,-1001843670580,finnifty important level❤️👍👍❤️❤️❤️❤️
2024-12-06 02:49:46+00:00,-1001843670580,nifty important level❤️👍👍❤️❤️❤️❤️❤️❤️❤️❤️👍❤️❤️
2024-12-06 02:49:10+00:00,-1001843670580,Long short ratio of fii dii data ❤️👍👍👍👍❤️❤️❤️👍👍❤️❤️👍👍❤️❤️
2024-12-06 02:48:03+00:00,-1001843670580,"Last working day fii dii data 
Fii continue buying 
Dii continue selling ❤️❤️👍👍❤️❤️👍👍❤️❤️❤️"
2024-12-06 02:43:41+00:00,-1001843670580,"Global market view 
Gifnifty showing flat opening ❤️❤️❤️👍👍❤️❤️"
2024-12-06 02:41:14+00:00,-1001843670580,
2024-12-05 16:56:25+00:00,-1001843670580,"Hi
Kya ap bhi stock charts dekh kar confused ho jate hain?
Trading karna hai lekin strategy clear nahi?
Join- our account management services 💥 Hurry Up join Fast💥
Few space left for Ac  handling
✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️
Account  space available

Broker application name 

FYERS & ZERODHA ,angel one ,upstox,Dhan ,Growww and all others 

Solution 👇

Solutuon For those Who are busy in Office Work or beginners Or Having Of Old losses 

Get profit Risk free in Your Demat account 

🚀50:50 PROFIT SHARING 🚀

Capital Requirement :-   50k -10Lakh 

Capital 50 k ( Daily Profit 10k++)
Capital 1 Lakh ( Daily Profit 10k_20k++)
Capital 5 Lakh ( Daily Profit 70k+)

Our Work is reliable 
Our all employees have minimum experience 5 yr

Our first Target not depends on profit.. our first Target depends on capital safety so if you want daily profit we don't give its but we give you a safety of capital..

Interest ping me below this link

WhatsApp link 

 👇🏻👇👇👇👇👇👇👇👇👇

http://Wa.me/+919785609678/?text=*account_handling_service*for"
2024-12-05 10:28:06+00:00,-1001843670580,Jackpot return today ✌️✌️
2024-12-05 10:28:06+00:00,-1001843670580,
2024-12-05 10:26:39+00:00,-1001843670580,Jackpot return today ✌️✌️✌️
2024-12-05 10:26:39+00:00,-1001843670580,
2024-12-05 10:26:01+00:00,-1001843670580,Jackpot return today ✌️✌️
2024-12-05 10:26:01+00:00,-1001843670580,
2024-12-05 08:57:09+00:00,-1001843670580,Jackpot return today ❤️❤️👍👍❤️👍👍❤️❤️❤️
2024-12-05 08:56:14+00:00,-1001843670580,Jackpot return today ❤️❤️👍👍❤️👍👍❤️❤️👍
2024-12-05 08:51:28+00:00,-1001843670580,2lack profit done 👍👍👍✅✅👍
2024-12-05 08:08:59+00:00,-1001843670580,J....
2024-12-05 08:08:51+00:00,-1001843670580,J...
2024-12-05 08:08:41+00:00,-1001843670580,J....
2024-12-05 08:08:37+00:00,-1001843670580,J....
2024-12-05 08:07:43+00:00,-1001843670580,"Finally bitcoin 100k
  Celebration❤️👍👍👍👍❤️"
2024-12-05 08:06:37+00:00,-1001843670580,Nifty PCR data
2024-12-05 08:06:21+00:00,-1001843670580,Banknifty pcR data ❤️👍👍❤️❤️
2024-12-05 07:04:25+00:00,-1001843670580,Jackpot return today ❤️👍👍❤️❤️
2024-12-05 07:03:58+00:00,-1001843670580,nifty 300 points up from the support level aapko last 3 days se bata rahi hun ki 24352 important support h yahan se fast move aayega❤️👍👍❤️❤️
2024-12-05 07:03:29+00:00,-1001843670580,"banknifty 800 points up from the support aapko instagram ki video main bataya tha ki 52800 per best trade hogi or fast move aayega 
aap video check kar sakte ho❤️👍👍❤️❤️❤️"
2024-12-05 07:03:07+00:00,-1001843670580,finnifty 400 points apne important support se jo kal break hua tha again usko retest karne ke bad upside move❤️👍👍❤️👍👍❤️❤️
2024-12-05 06:28:55+00:00,-1001843670580,Nervousness or manipulation ❤️👍👍👍❤️👍
2024-12-05 06:28:48+00:00,-1001843670580,
2024-12-05 06:28:48+00:00,-1001843670580,J....
2024-12-05 06:28:35+00:00,-1001843670580,
2024-12-05 06:28:35+00:00,-1001843670580,J....
2024-12-05 06:26:03+00:00,-1001843670580,Algo ❤️👍👍❤️❤️
2024-12-05 05:31:07+00:00,-1001843670580,
2024-12-05 05:31:00+00:00,-1001843670580,836
2024-12-05 05:18:32+00:00,-1001843670580,793
2024-12-05 05:17:59+00:00,-1001843670580,
2024-12-05 05:17:49+00:00,-1001843670580,790
2024-12-05 05:06:46+00:00,-1001843670580,Nifty is trading at recent support + formed bullish hns pattern on smaller tf ( wait for breakout )❤️👍👍👍👍👍👍
2024-12-05 05:06:21+00:00,-1001843670580,nifty morning star candle stick pattern in 15 minutes but agar low break hua the sharp selling aa sakti hai
2024-12-05 05:05:55+00:00,-1001843670580,Morning jackpot return ❤️👍❤️❤️❤️❤️👍
2024-12-05 05:05:22+00:00,-1001843670580,Banknifty support
2024-12-05 05:04:44+00:00,-1001843670580,Banknifty pcR data
2024-12-05 05:04:19+00:00,-1001843670580,Banknifty pcR data
2024-12-05 05:04:09+00:00,-1001843670580,Nifty PCR data ❤️👍👍❤️❤️
2024-12-05 05:03:30+00:00,-1001843670580,nifty morning star candle stick pattern in 15 minutes but agar low break hua the sharp selling aa sakti hai❤️👍👍❤️❤️👍👍
2024-12-05 05:03:03+00:00,-1001843670580,Jackpot return today ❤️👍👍❤️❤️
2024-12-05 05:02:49+00:00,-1001843670580,Jackpot return ❤️👍❤️❤️👍👍
2024-12-05 05:02:38+00:00,-1001843670580,Morning jackpot return ❤️👍❤️
2024-12-05 05:01:34+00:00,-1001843670580,banknifty 200 points down after break ist support❤️❤️👍❤️❤️❤️
2024-12-05 05:01:12+00:00,-1001843670580,nifty also 90 points down❤️👍👍❤️❤️❤️
2024-12-05 04:51:40+00:00,-1001843670580,Target done 💯✅✅✅✅30 point achieve by put
